scope,MAE,RMSE,R2
overall,1090.3496859432835,2053.7915674800083,0.9108397168104654
plant_1,1068.9647256631408,2024.3054315033467,0.9351170484324921
plant_2,1111.0663662146717,2081.95806789128,0.8589811407629762
